fecha,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
2016-09-28,73,31,89,59,12,14,69,17,50,99,0,1,99,58,12,89,88,53,62,27
2016-09-29,5,59,29,66,83,1,59,23,87,25,61,55,39,67,72,56,75,98,41,51
2016-09-30,1,79,52,40,9,88,39,68,14,96,17,19,85,91,21,46,73,87,37,51
2016-10-01,74,73,78,56,10,90,86,79,9,20,74,2,97,37,71,88,39,31,60,58
2016-10-02,40,60,93,46,19,37,39,13,16,68,33,95,24,9,75,88,27,20,18,52
2016-10-03,46,25,4,48,95,65,49,11,25,29,76,87,90,98,98,95,7,13,30,55
2016-10-04,9,84,61,54,16,25,16,85,58,73,29,37,40,76,77,20,94,12,89,10
2016-10-05,26,84,17,41,44,24,71,85,87,33,53,24,24,16,94,88,77,51,49,52
2016-10-06,53,43,13,12,95,48,95,16,55,20,25,3,11,91,32,60,46,40,53,18
2016-10-07,98,81,74,46,15,92,34,5,34,79,62,75,79,21,92,43,63,0,99,28
2016-10-08,6,45,12,15,63,39,92,31,72,46,65,59,47,95,34,17,67,84,4,44
2016-10-09,89,74,99,53,65,30,94,36,73,40,56,71,50,90,41,64,34,40,44,12
2016-10-10,9,66,65,66,1,32,19,77,86,24,66,12,27,13,28,67,91,20,54,70
2016-10-11,95,61,25,62,32,97,39,68,2,40,87,61,44,93,85,32,54,48,63,33
2016-10-12,24,91,92,84,97,74,76,76,48,45,24,64,28,25,58,40,21,81,86,16
2016-10-13,0,33,79,83,13,77,11,39,99,19,15,42,61,93,98,6,13,79,27,88
2016-10-14,66,11,83,17,42,55,50,68,65,99,99,51,9,72,97,31,46,42,5,67
2016-10-15,35,78,83,82,41,32,74,80,49,89,14,87,9,15,53,6,5,0,43,77
2016-10-16,3,65,82,16,14,86,82,53,81,9,39,73,25,75,50,75,46,36,21,20
2016-10-17,75,11,8,17,17,82,39,99,13,65,44,39,87,97,87,19,22,65,28,73
2016-10-18,56,55,82,71,2,4,60,48,26,41,75,82,56,38,27,52,31,56,67,6
2016-10-19,0,21,89,64,17,89,46,47,93,5,21,58,19,67,21,9,20,42,17,13
2016-10-20,86,32,36,5,35,26,61,20,88,92,9,10,11,61,12,85,75,81,52,99
2016-10-21,4,40,32,94,57,80,17,97,49,49,97,38,39,58,12,32,19,10,86,58
2016-10-22,35,40,43,63,92,93,39,32,45,56,46,65,55,32,34,37,9,16,72,38
2016-10-23,21,56,75,25,82,92,59,66,5,94,39,92,57,0,3,68,56,2,74,85
2016-10-24,49,46,0,78,33,87,37,56,27,16,77,49,53,96,96,85,18,59,87,37
2016-10-25,10,81,48,56,98,60,42,36,41,11,79,83,28,30,87,2,52,46,69,16
2016-10-26,66,37,61,4,46,52,21,13,18,34,9,94,40,80,97,8,65,87,63,42
2016-10-27,43,3,53,99,95,4,70,30,90,4,93,83,11,5,83,15,53,91,56,39
2016-10-28,44,6,96,31,18,28,96,9,86,70,83,97,84,94,12,79,54,54,89,97
2016-10-29,70,48,45,38,36,39,8,7,77,44,93,61,3,15,20,97,21,51,93,97
2016-10-30,23,4,15,6,19,56,91,53,62,20,80,61,86,94,34,9,22,43,94,37
2016-10-31,77,54,18,32,65,67,43,22,72,16,93,18,10,49,51,50,43,99,48,47
2016-11-01,42,6,59,22,63,5,98,46,89,47,6,82,64,78,42,63,85,63,34,66
2016-11-02,67,96,37,42,81,50,73,45,21,74,13,19,62,74,89,27,11,95,15,19
2016-11-03,29,52,88,76,70,17,35,47,14,27,30,12,55,70,6,48,78,74,81,44
2016-11-04,82,24,36,17,46,39,24,75,31,27,13,43,30,36,23,76,93,49,64,86
2016-11-05,99,61,88,90,79,46,8,1,47,49,40,56,55,83,10,22,79,84,99,87
2016-11-06,88,31,40,26,60,93,34,55,29,16,19,5,94,40,83,68,19,17,81,26
2016-11-07,91,14,67,81,23,27,96,26,42,43,25,77,77,37,83,21,0,57,99,3
2016-11-08,20,51,80,8,39,74,37,18,19,41,47,86,64,69,98,41,40,92,24,72
2016-11-09,75,9,46,20,18,46,28,79,90,80,26,27,25,13,94,40,22,84,39,3
2016-11-10,16,63,78,21,91,85,84,22,5,86,30,61,75,12,78,93,72,44,87,52
2016-11-11,74,82,74,28,11,23,50,50,58,39,78,91,24,73,67,52,18,79,96,72
2016-11-12,91,98,35,63,47,98,9,41,87,28,78,38,97,88,30,77,33,60,65,82
2016-11-13,2,22,71,56,49,5,34,86,3,39,94,5,74,25,86,74,88,21,53,77
2016-11-14,24,23,2,95,71,63,74,53,47,44,64,20,88,81,34,57,14,97,90,92
2016-11-15,33,16,21,9,12,7,98,7,13,82,58,77,63,88,63,52,71,44,34,46
2016-11-16,16,79,26,15,24,84,33,68,85,7,76,30,21,68,90,29,56,28,55,62
2016-11-17,61,62,13,69,67,68,7,44,40,8,22,44,74,23,82,54,76,47,49,61
2016-11-18,92,49,52,60,73,7,51,48,92,49,46,96,45,18,21,9,0,43,76,73
2016-11-19,3,56,15,94,16,62,32,64,41,75,23,90,50,75,84,99,22,28,25,26
2016-11-20,58,99,99,52,63,85,93,20,52,83,30,43,98,98,90,79,26,32,54,56
2016-11-21,50,63,40,74,33,33,12,18,85,44,22,75,55,2,31,17,65,27,6,5
2016-11-22,58,2,84,15,60,44,44,7,80,89,1,17,90,54,15,20,65,72,59,95
2016-11-23,49,30,47,35,22,4,35,71,1,43,64,61,77,81,71,10,47,60,24,4
2016-11-24,22,45,41,17,82,92,20,92,1,92,95,1,76,97,90,97,55,7,84,61
2016-11-25,61,41,57,15,73,7,72,84,47,50,31,96,73,36,17,21,46,94,73,21
2016-11-26,85,37,85,24,61,92,25,69,98,15,8,67,33,7,47,75,28,33,84,52
2016-11-27,84,44,95,65,11,88,48,14,15,68,4,28,13,44,41,52,27,3,61,37
2016-11-28,65,10,1,24,45,39,81,37,53,59,2,51,34,42,10,78,94,2,60,76
2016-11-29,28,78,63,92,98,4,44,54,14,33,98,1,45,84,32,47,97,47,13,5
2016-11-30,94,26,50,9,42,93,50,97,25,50,85,44,27,85,38,53,97,18,30,3
2016-12-01,39,20,68,18,67,26,35,34,71,46,36,85,57,21,90,34,3,49,12,23
2016-12-02,74,13,80,93,60,71,71,99,34,16,51,53,17,61,1,92,26,3,10,24
2016-12-03,27,3,27,19,37,38,33,32,8,2,20,75,99,92,50,53,31,77,76,84
2016-12-04,89,43,76,80,30,92,9,99,77,9,65,3,77,79,60,85,9,27,41,4
2016-12-05,44,26,39,42,87,27,89,42,32,50,41,25,50,15,35,56,41,82,25,96
2016-12-06,78,96,83,14,52,16,81,58,26,92,11,56,72,5,59,81,6,51,25,66
2016-12-07,11,93,89,18,32,58,71,44,15,10,99,45,87,48,92,8,11,92,94,31
2016-12-08,35,45,41,19,89,25,70,6,3,65,33,65,9,94,74,87,13,32,36,53
2016-12-09,29,6,36,25,38,19,26,62,38,34,53,77,37,58,96,52,90,79,5,42
2016-12-10,69,98,45,9,56,12,75,50,72,86,62,61,75,84,86,3,55,21,86,64
2016-12-11,42,18,33,70,20,9,88,76,19,29,97,70,61,30,29,3,72,4,0,72
2016-12-12,94,75,47,48,43,32,52,43,59,89,99,7,38,18,35,28,17,76,49,91
2016-12-13,3,6,40,8,26,98,20,19,57,49,58,37,82,13,42,68,86,36,56,6
2016-12-14,17,6,72,28,72,6,86,83,8,2,5,85,23,54,42,79,48,50,98,15
2016-12-15,83,5,47,88,66,68,26,41,36,52,46,32,30,25,36,14,87,60,13,69
2016-12-16,84,23,15,0,4,76,98,4,74,7,59,75,35,1,59,99,25,18,12,55
2016-12-17,59,79,75,89,80,24,55,29,32,93,68,97,41,53,48,10,23,52,6,93
2016-12-18,12,19,76,9,90,72,6,69,63,75,82,71,58,32,69,95,58,66,43,75
2016-12-19,99,16,20,53,48,57,4,40,58,58,65,72,64,79,62,53,60,10,27,52
2016-12-20,87,67,9,59,22,73,82,59,59,33,44,86,72,51,36,5,14,19,37,94
2016-12-21,50,23,10,33,81,38,77,80,11,60,95,40,5,92,88,52,55,21,81,49
2016-12-22,3,68,95,82,27,5,94,93,53,64,46,41,11,9,23,83,14,22,54,21
2016-12-23,16,56,36,62,91,15,91,90,82,63,62,63,69,1,95,58,78,37,1,50
2016-12-24,50,43,33,24,52,37,96,17,31,29,54,49,64,95,28,69,2,26,46,3
2016-12-25,61,67,74,51,60,39,4,9,65,99,1,55,75,82,54,61,69,85,12,92
2016-12-26,2,83,7,19,0,44,33,16,45,40,76,89,65,12,29,91,8,40,94,95
2016-12-27,41,66,45,75,3,14,61,23,66,35,88,81,49,77,27,49,19,86,82,90
2016-12-28,87,95,22,93,57,42,56,34,28,24,8,49,88,63,52,42,46,20,82,19
2016-12-29,71,75,57,86,29,88,72,79,66,84,99,42,81,74,45,92,39,56,10,22
2016-12-30,84,39,39,24,49,80,89,7,57,46,61,44,39,47,58,50,47,81,74,34
2016-12-31,80,85,15,58,28,73,23,67,25,51,94,38,87,98,87,16,81,3,39,87
2017-01-01,68,53,38,81,70,46,89,22,17,64,97,24,24,13,86,22,50,99,1,55
2017-01-02,51,80,35,41,16,74,78,13,39,89,0,29,55,33,27,46,18,52,70,57
2017-01-03,9,84,17,76,36,78,20,18,49,3,22,72,83,8,88,79,86,69,67,52
2017-01-04,65,91,10,31,7,94,44,67,84,99,16,79,88,4,75,35,64,51,25,13
2017-01-05,11,10,63,35,21,69,68,53,93,38,83,7,73,98,84,57,62,35,67,77
2017-01-06,99,49,6,59,11,24,32,73,18,16,4,87,69,3,2,55,28,59,43,92
2017-01-07,28,67,5,95,98,73,46,21,81,73,22,45,46,82,68,64,64,27,37,4
2017-01-08,78,43,43,24,20,58,23,6,76,37,38,43,81,32,75,93,66,43,74,45
2017-01-09,41,52,31,10,41,12,41,55,93,3,62,45,2,24,11,21,27,40,52,0
2017-01-10,16,9,54,32,54,22,2,94,10,12,14,98,61,61,98,8,97,20,62,42
2017-01-11,38,93,14,99,37,64,96,5,92,56,70,14,53,67,45,15,24,85,3,70
2017-01-12,99,0,16,67,5,58,68,58,36,69,59,20,56,88,66,47,32,8,24,1
2017-01-13,98,22,81,16,28,41,32,79,95,87,15,77,14,91,51,33,15,1,24,91
2017-01-14,79,96,10,59,25,54,32,28,57,18,46,65,12,93,50,81,65,71,71,87
2017-01-15,61,27,9,60,6,24,6,54,16,61,79,82,30,54,56,47,65,21,97,9
2017-01-16,82,59,24,74,8,77,58,11,7,75,29,88,76,69,27,70,94,9,32,23
2017-01-17,39,74,47,57,31,14,26,85,60,37,78,6,25,23,98,70,61,0,18,63
2017-01-18,37,92,76,44,74,97,46,64,91,24,88,9,64,78,61,49,61,15,21,26
2017-01-19,59,44,24,88,37,44,40,18,73,44,1,96,81,72,86,90,33,61,60,26
2017-01-20,22,11,65,78,76,31,20,45,54,91,87,91,85,96,46,4,8,39,25,16
2017-01-21,95,19,95,76,64,67,33,64,18,93,30,25,71,65,45,63,15,67,27,27
2017-01-22,16,33,33,45,19,19,54,12,68,94,42,90,9,4,72,76,84,5,77,37
2017-01-23,30,17,99,6,82,63,73,71,85,18,0,59,35,12,18,33,7,5,91,31
2017-01-24,98,96,14,71,60,69,9,18,7,60,98,67,71,98,67,4,86,36,0,50
2017-01-25,93,25,49,17,5,8,72,86,14,28,19,2,55,69,64,38,55,9,15,93
2017-01-26,76,92,91,64,92,41,0,6,10,9,35,70,79,59,14,74,35,1,28,33
2017-01-27,27,81,75,69,13,80,67,19,64,48,43,11,51,9,16,13,95,28,35,32
2017-01-28,89,56,91,29,11,55,34,80,87,47,97,55,27,48,3,80,10,30,56,4
2017-01-29,7,69,7,47,33,22,18,76,95,14,95,59,64,70,70,81,48,53,32,10
2017-01-30,66,3,27,9,19,63,62,42,9,43,35,72,57,49,48,96,75,49,47,2
2017-01-31,94,31,25,99,71,4,6,2,59,7,93,93,54,61,29,6,73,10,8,31
2017-02-01,1,43,70,80,60,84,40,84,50,22,94,27,2,24,36,35,52,88,29,52
2017-02-02,34,82,15,10,50,67,79,58,77,39,3,11,3,32,49,35,56,48,67,66
2017-02-03,31,34,58,59,31,33,69,64,13,44,89,3,85,16,50,42,1,91,45,95
2017-02-04,28,86,92,55,20,68,54,94,43,26,13,69,97,2,74,92,7,11,69,64
2017-02-05,6,83,52,90,87,81,51,25,50,10,65,13,51,5,29,23,62,78,5,85
2017-02-06,86,34,65,40,15,52,8,87,92,82,56,55,98,24,7,56,32,32,0,59
2017-02-07,26,18,4,36,87,33,67,75,32,82,69,55,0,3,99,78,93,90,2,79
2017-02-08,45,78,0,28,75,79,61,30,31,96,43,44,55,40,55,43,82,90,93,56
2017-02-09,44,70,83,56,69,74,67,74,20,49,58,0,85,61,12,81,71,75,39,85
2017-02-10,41,57,0,64,71,56,49,80,68,27,95,70,98,97,91,75,60,17,54,76
2017-02-11,52,86,10,38,50,43,10,15,83,48,4,1,47,16,70,79,22,59,15,30
2017-02-12,88,54,88,22,33,47,48,99,11,85,86,55,34,51,29,79,49,92,62,51
2017-02-13,71,50,90,18,97,81,86,48,83,30,76,14,30,44,32,38,82,25,74,7
2017-02-14,76,79,40,72,91,80,39,48,77,29,80,32,80,8,4,99,86,88,95,43
2017-02-15,28,13,50,22,93,0,14,24,19,22,65,32,61,89,60,69,36,15,32,96
2017-02-16,62,27,45,83,66,56,88,67,64,18,10,96,59,41,58,6,82,21,80,53
2017-02-17,27,3,81,17,5,75,35,38,24,85,29,21,30,20,31,8,15,41,87,5
2017-02-18,21,90,89,67,24,41,21,12,37,57,35,61,29,34,79,87,32,57,27,5
2017-02-19,73,17,42,48,18,9,34,95,61,38,3,60,9,54,75,42,29,4,2,43
2017-02-20,88,24,57,68,6,15,33,67,43,73,86,75,99,75,85,83,73,80,93,47
2017-02-21,63,51,85,43,81,79,96,24,70,75,93,90,57,57,16,97,25,72,79,44
2017-02-22,21,18,85,51,9,71,25,87,30,20,8,51,45,75,46,34,26,27,92,16
2017-02-23,98,32,8,24,5,79,51,33,66,63,93,96,68,81,79,49,70,7,75,96
2017-02-24,8,83,93,22,52,92,96,12,34,69,22,32,2,15,56,65,64,77,41,27
2017-02-25,1,20,31,17,2,15,66,62,93,79,56,13,56,6,43,39,42,27,68,84
2017-02-26,76,62,53,3,72,54,27,32,93,62,47,62,41,47,29,43,68,3,79,28
2017-02-27,68,64,65,60,95,50,73,70,23,28,42,27,36,39,60,21,80,43,70,8
2017-02-28,46,2,67,34,94,32,56,25,62,46,37,20,11,11,99,41,0,95,1,41
2017-03-01,71,91,71,46,97,3,98,84,92,25,14,66,51,52,92,62,31,40,13,19
2017-03-02,14,81,70,53,37,66,81,88,54,81,51,47,86,38,39,30,51,54,66,43
2017-03-03,21,86,34,92,20,56,53,82,13,90,53,58,51,3,49,26,34,64,49,9
2017-03-04,7,18,19,60,17,88,20,9,87,29,42,95,94,71,6,59,98,94,10,39
2017-03-05,31,12,69,27,34,9,49,15,43,14,95,14,52,19,7,20,5,13,49,65
2017-03-06,8,44,58,23,37,7,22,46,99,99,97,42,8,32,23,1,9,45,33,18
2017-03-07,71,35,85,24,53,18,49,15,16,61,26,17,92,4,56,54,25,45,8,72
2017-03-08,22,19,31,90,79,94,65,66,48,90,51,35,64,54,12,39,31,84,37,82
2017-03-09,44,75,13,92,48,25,24,26,36,71,94,66,54,44,82,84,29,95,39,80
2017-03-10,96,70,16,58,11,78,28,69,91,18,39,64,41,17,2,40,64,57,15,45
2017-03-11,36,27,72,30,54,92,53,61,7,17,10,76,83,18,21,32,59,62,68,90
2017-03-12,29,65,55,30,90,9,71,72,91,51,32,82,77,50,76,26,58,86,31,48
2017-03-13,95,79,88,38,99,15,51,47,79,90,73,62,42,51,50,2,50,85,70,79
2017-03-14,39,52,3,38,47,25,3,69,43,41,24,53,43,47,58,0,90,7,45,20
2017-03-15,52,28,86,39,63,24,1,40,53,45,96,70,99,29,78,55,61,98,65,89
2017-03-16,72,12,69,48,91,80,10,13,6,49,8,72,55,83,27,51,11,88,17,10
2017-03-17,20,80,10,61,74,75,19,6,44,20,69,35,44,11,56,18,67,7,97,68
2017-03-18,18,1,33,15,21,87,60,17,55,25,97,3,73,77,6,17,38,86,53,65
2017-03-19,78,82,47,50,71,26,85,2,19,80,34,14,18,53,84,7,3,46,95,27
2017-03-20,95,88,28,81,68,51,42,81,79,75,99,47,80,86,21,4,40,85,28,70
2017-03-21,0,35,61,12,89,15,90,21,99,60,8,6,7,58,80,40,44,58,53,68
2017-03-22,47,71,99,35,1,12,55,34,93,62,52,79,25,81,0,61,93,78,85,39
2017-03-23,82,55,61,5,20,55,5,74,84,92,10,93,6,47,84,7,1,2,51,81
2017-03-24,12,12,56,23,73,94,76,87,51,83,18,6,65,5,89,69,95,31,48,74
2017-03-25,24,54,65,97,74,11,47,58,14,43,28,11,51,16,59,16,72,19,89,2
2017-03-26,52,32,22,47,84,91,30,15,72,58,20,76,51,65,35,43,18,75,15,77
2017-03-27,79,74,1,27,46,59,91,37,87,16,37,5,74,15,25,77,53,1,0,51
2017-03-28,30,18,61,22,59,37,18,13,23,2,30,90,83,37,57,56,82,23,29,30
2017-03-29,4,31,87,91,10,45,38,48,55,2,84,97,65,66,52,33,14,58,4,82
2017-03-30,42,41,32,96,17,15,16,65,99,23,90,27,64,4,49,65,53,23,82,97
2017-03-31,45,63,79,24,86,28,77,11,28,53,52,85,99,10,27,35,47,49,85,77
2017-04-01,1,45,61,46,13,39,41,18,75,32,58,51,87,12,11,30,43,29,76,24
2017-04-02,8,41,77,85,73,55,72,68,23,55,77,31,65,48,50,9,66,86,14,36
2017-04-03,4,2,98,49,35,27,98,25,72,28,7,68,0,67,25,74,76,72,2,70
2017-04-04,99,24,27,81,16,66,75,3,55,57,30,87,16,36,84,19,82,7,48,7
2017-04-05,67,79,84,98,67,76,50,91,64,88,23,49,72,20,21,97,43,18,33,39
2017-04-06,62,92,98,65,69,32,85,21,10,97,86,30,67,46,32,28,13,54,44,51
2017-04-07,21,93,63,89,10,62,84,33,19,26,27,44,32,27,64,5,34,68,17,22
2017-04-08,20,0,47,3,27,99,91,21,31,46,84,80,12,12,41,87,88,10,57,15
2017-04-09,68,91,45,8,57,40,81,34,87,27,15,30,3,28,66,14,11,13,7,87
2017-04-10,94,4,76,73,99,34,28,45,85,72,47,24,72,85,39,66,40,47,52,77
2017-04-11,97,44,34,37,13,29,8,42,16,34,79,24,61,90,56,19,34,59,50,14
2017-04-12,44,54,26,61,7,33,80,25,60,41,31,91,34,23,90,74,68,4,13,63
2017-04-13,20,22,77,28,7,3,44,61,86,11,19,52,36,48,92,54,41,98,6,93
2017-04-14,50,50,92,50,43,27,65,56,21,70,64,39,0,44,0,7,43,8,27,65
2017-04-15,30,99,91,58,96,86,31,74,13,68,49,1,27,95,31,18,18,47,84,75
2017-04-16,43,20,4,46,81,72,40,59,43,57,51,68,50,94,42,1,23,50,54,55
2017-04-17,71,27,66,70,41,40,17,41,78,90,59,29,68,74,33,82,7,1,12,15
2017-04-18,87,42,27,42,39,30,13,65,13,77,20,73,80,12,8,94,46,63,2,27
2017-04-19,50,88,27,77,66,11,29,23,44,63,43,24,69,58,51,55,22,68,38,36
2017-04-20,14,59,60,34,85,84,10,69,39,99,22,28,44,26,69,48,22,50,88,79
2017-04-21,49,28,17,87,71,57,87,12,68,21,12,46,38,94,32,81,74,66,92,40
2017-04-22,38,16,27,87,47,34,21,48,71,28,75,62,78,25,63,15,36,72,63,18
2017-04-23,85,5,59,98,53,80,59,78,65,69,22,74,23,98,22,23,85,24,36,71
2017-04-24,15,15,48,24,23,0,37,31,3,62,62,7,31,87,58,41,46,20,81,91
2017-04-25,91,22,31,16,30,33,63,18,91,10,0,85,70,35,59,22,16,47,35,61
2017-04-26,21,66,76,16,4,43,77,65,70,40,23,53,20,72,19,29,50,48,60,43
2017-04-27,91,83,87,62,63,60,43,32,59,2,0,85,4,52,61,19,89,19,88,76
2017-04-28,24,15,31,39,24,99,22,83,15,98,22,42,55,12,81,27,54,54,60,5
2017-04-29,16,16,30,14,92,51,62,35,27,50,29,34,45,50,98,22,48,14,34,71
2017-04-30,17,58,41,5,93,41,78,41,93,29,41,75,34,36,99,55,68,64,82,86
2017-05-01,56,29,2,61,82,45,16,28,50,83,17,61,75,93,11,92,60,76,5,50
2017-05-02,62,30,43,55,55,4,43,21,91,97,29,17,21,47,87,50,5,3,22,84
2017-05-03,62,56,31,92,33,83,89,48,89,27,65,8,47,21,6,0,32,58,45,30
2017-05-04,99,93,12,41,64,73,36,74,12,33,71,62,83,4,17,4,19,0,50,52
2017-05-05,65,38,0,67,5,86,2,53,89,57,60,68,12,67,88,97,44,34,75,54
2017-05-06,25,17,17,45,17,1,5,92,7,7,45,24,96,91,40,44,37,3,29,12
2017-05-07,10,56,9,10,48,44,13,0,19,23,80,91,40,40,71,62,18,10,43,56
2017-05-08,13,29,30,26,46,65,50,20,10,82,47,6,25,80,75,87,60,42,42,19
2017-05-09,65,58,15,88,36,4,32,86,91,49,95,87,82,85,38,75,57,71,17,73
2017-05-10,95,30,98,37,19,11,78,55,30,60,33,44,86,66,76,58,99,24,26,9
2017-05-11,55,61,72,33,1,63,99,29,18,28,42,25,34,63,34,39,4,91,40,32
2017-05-12,8,63,86,4,14,14,60,92,43,34,76,74,24,16,35,77,69,66,82,27
2017-05-13,33,4,86,58,29,6,72,74,66,20,91,75,65,65,90,92,59,41,36,81
2017-05-14,64,7,14,90,88,95,42,78,82,31,14,99,3,59,65,68,25,72,21,82
2017-05-15,21,69,78,18,23,77,8,19,45,93,56,38,97,46,43,41,31,32,68,4
2017-05-16,68,20,38,14,55,72,35,16,22,81,26,77,33,18,72,46,3,95,14,35
2017-05-17,38,48,78,0,93,64,95,81,92,60,35,44,65,42,73,9,82,20,94,15
2017-05-18,12,81,81,73,96,27,82,35,53,44,0,57,74,17,93,53,17,64,19,6
2017-05-19,68,11,10,73,5,80,79,14,51,9,63,6,94,20,68,12,20,45,57,99
2017-05-20,2,0,35,36,88,91,88,14,41,74,31,66,23,32,86,25,96,30,2,25
2017-05-21,17,50,11,62,87,36,16,40,78,59,10,53,46,32,11,98,17,19,14,57
2017-05-22,44,24,42,67,28,91,30,19,95,81,34,84,51,34,83,75,29,60,36,0
2017-05-23,96,54,59,59,55,29,97,62,67,45,28,6,35,17,66,87,30,33,67,14
2017-05-24,92,36,10,17,93,24,66,15,19,87,14,1,50,86,32,12,98,67,85,75
2017-05-25,69,38,32,71,71,95,56,29,48,61,42,79,58,0,56,63,91,41,57,47
2017-05-26,53,6,89,91,54,55,5,59,42,70,4,71,28,65,62,22,44,83,60,6
2017-05-27,44,31,64,61,1,60,73,76,5,30,42,17,42,7,11,66,26,71,4,56
2017-05-28,39,79,78,37,62,22,58,8,43,18,88,44,59,36,28,20,91,79,13,74
2017-05-29,41,1,52,13,20,69,25,89,65,83,61,86,36,54,51,90,16,57,75,37
2017-05-30,86,37,17,58,42,1,6,19,76,89,54,10,53,85,74,29,12,90,85,5
2017-05-31,82,9,6,75,53,41,90,83,5,61,77,55,98,68,10,19,82,99,9,10
2017-06-01,76,6,6,88,80,88,65,32,90,29,27,88,68,89,15,95,61,66,91,38
2017-06-02,71,64,78,89,68,6,18,95,96,96,3,38,75,75,8,60,14,49,23,5
2017-06-03,8,91,74,93,46,41,35,61,35,74,80,87,24,52,22,3,70,54,72,8
2017-06-04,99,99,46,86,24,73,87,81,81,46,81,69,13,11,77,62,51,90,65,39
2017-06-05,41,60,76,56,50,72,70,83,6,75,51,7,67,71,52,79,30,20,35,41
2017-06-06,69,84,72,17,36,15,68,24,52,79,67,29,33,65,54,9,87,51,47,19
2017-06-07,37,33,27,56,46,88,94,21,10,78,99,86,2,25,4,82,58,51,55,25
2017-06-08,60,3,64,73,67,33,82,71,12,19,63,28,11,15,16,47,60,17,71,28
2017-06-09,31,22,78,95,49,4,26,15,84,8,96,58,51,84,2,77,11,84,52,6
